Site,Name,Dev rev step,Socket,Set point,Area,X,Y,Thickness,Delta_SOT
CD,EMR MCC,8PRF,SDJ,-10,780.736628,30658,25466,500,-1.5
CD,SPR EEC MCC,8PUY,SDJ,-10,780.736628,30658,25466,500,-0.7
CD,SPR MCC,8PVD,SDJ,-10,780.736628,30658,25466,500,-0.65
CD,EMR MCC,8PRF,SDJ,20,780.736628,30658,25466,500,0
CD,SPR EEC MCC,8PUY,SDJ,20,780.736628,30658,25466,500,0
CD,SPR MCC,8PVD,SDJ,20,780.736628,30658,25466,500,0
CD,EMR XCC N,8PRD,SDJ,-10,767.740806,30619,25074,500,-1.5
CD,EMR XCC S,8PRE,SDJ,-10,767.740806,30619,25074,500,-1.5
CD,EMR XCC N,8PRD,SDJ,20,767.740806,30619,25074,500,0
CD,EMR XCC S,8PRE,SDJ,20,767.740806,30619,25074,500,0
CD,FP8,8PRL,Split,-10,720.540198,29862,24129,745,-0.95
CD,FP8,8PRL,Split,100,720.540198,29862,24129,745,1.86
CD,FP8,8PRL,Split,20,720.540198,29862,24129,745,0
ODS,PVC-Stack,B8PF(B8PX),Split,20,646,22600,28600,280,0
CD,GNR CPU 44,8PG3,SDJ,-10,589.898898,31406,18783,500,-3.4
CD,GNR CPU 44,8PG3,SDJ,20,589.898898,31406,18783,500,0
CD,SPR R EEC,8PSK,SDJ,-10,585.17856,22830,25632,500,-0.95
CD,SPR R EEC,8PSK,SDJ,20,585.17856,22830,25632,500,0
ODS,MGR HPC,8PNA,Split,-10,573,22300,28300,745,-2.15
ODS,MGR HPC,8PNA,Split,20,573,22300,28300,745,0
CD,SRF,8PUT,SDJ,-10,569.062,22360,25450,370,-1.4
CD,SRF,8PUT,SDJ,20,569.062,22360,25450,370,0
CD,ICL D H CC,8PCG,SDJ,-10,474.734112,23511,20192,758,-1.8
CD,ICL D H CC,8PCG,SDJ,80,474.734112,23511,20192,758,3.2
CD,ICL D H CC,8PCG,SDJ,20,474.734112,23511,20192,758,0
CD,GNR DIO,8PG9,SDM,-30,398.097678,32342,12309,500,-1.2
CD,GNR DIO,8PG9,SDM,80,398.097678,32342,12309,500,4
CD,GNR DIO,8PG9,SDM,20,398.097678,32342,12309,500,0
CD,SPR SP XCC L Sn,8PS2,SDJ,-10,390.931863,19761,19783,500,-2.05
CD,SPR SP XCC R Sn,8PS3,SDJ,-10,390.931863,19761,19783,500,-1.92
CD,SPR SP XCC L Sn,8PS2,SDJ,100,390.931863,19761,19783,500,3.5
CD,SPR SP XCC R Sn,8PS3,SDJ,100,390.931863,19761,19783,500,3.4
CD,SPR SP XCC L Sn,8PS2,SDJ,20,390.931863,19761,19783,500,0
CD,SPR SP XCC R Sn,8PS3,SDJ,20,390.931863,19761,19783,500,0
RA4,CWF stack,8PJ/8PZGA,SDHMT,50,355.0756,11160,31960,370,2.6
RA4,CWF stack,8PJ/8PZGA,SDHMT,20,355.0756,11160,31960,370,0
CD,SDW,8PJC,SDJ,-30,291.462365,16915,17231,758,-2.53
CD,SDW,8PJC,SDJ,100,291.462365,16915,17231,758,9.52
CD,SDW,8PJC,SDJ,20,291.462365,16915,17231,758,0
CD,SNR,8PLC,SDJ,-10,286.904772,13717,20916,758,-3.5
CD,SNR,8PLC,SDJ,80,286.904772,13717,20916,758,3.2
CD,SNR,8PLC,SDJ,20,286.904772,13717,20916,758,0
CD,RKL81,8PEB,Split,-10,279.787114,24014,11651,500,-0.94
CD,RKL81,8PEB,Split,20,279.787114,24014,11651,500,0
CD,BMG G21,8PWZ,Split,-10,273.172208,10832,25219,370,-1.1
CD,BMG G21,8PWZ,Split,20,273.172208,10832,25219,370,0
RA4,ARLH682 stack,8PYHA,SDHMT,40,271.76796,23980,11330,280,1.8
RA4,ARLH682 stack,8PYHA,SDHMT,20,271.76796,23980,11330,280,0
CD,RPL24C BSM,8PQF,SDJ,-10,253.627968,10824,23432,370,-4
CD,RPL24C Non BSM,8PRN,SDJ,-10,253.627968,10824,23432,470,-3.7
CD,RPL24C BSM,8PQF,SDJ,100,253.627968,10824,23432,370,13.1
CD,RPL24C Non BSM,8PRN,SDJ,100,253.627968,10824,23432,470,13.2
CD,RPL24C BSM,8PQF,SDJ,20,253.627968,10824,23432,370,0
CD,RPL24C Non BSM,8PRN,SDJ,20,253.627968,10824,23432,470,0
CD,SJC,8PFC,Split,20,253.248352,12824,19748,500,0
CD,GNR IO M,8PD6,SDJ,-10,233.275836,7276,32061,370,-2.4
CD,GNR IO,8PG1,Split,-10,233.275836,7276,32061,500,-2.18
CD,GNR IO,8PG1,SDJ,-10,233.275836,7276,32061,500,-2.52
CD,GNR IO M,8PD6,SDJ,80,233.275836,7276,32061,370,7
CD,GNR IO,8PG1,Split,80,233.275836,7276,32061,500,2.85
CD,GNR IO,8PG1,SDJ,80,233.275836,7276,32061,500,7.5
CD,GNR IO M,8PD6,SDJ,20,233.275836,7276,32061,370,0
CD,GNR IO,8PG1,Split,20,233.275836,7276,32061,500,0
CD,GNR IO,8PG1,SDJ,20,233.275836,7276,32061,500,0
CD,ICL DLCC,8PCA,Split,-10,221.190704,9424,23471,758,-2.2
CD,ICL DLCC,8PCA,Split,20,221.190704,9424,23471,758,0
RA4,LNL Stack,8PUR,SDHMT,40,220.3027,13100,16800,280,2.3
RA4,LNL Stack,8PUR,SDHMT,20,220.3027,13100,16800,280,0
CD,ADL682,8PFS,SDJ,-10,213.008266,10438,20407,270,-1.65
CD,ADL682,8PFS,SDJ,80,213.008266,10438,20407,270,12.45
CD,ADL682,8PFS,SDJ,20,213.008266,10438,20407,270,0
CD,RPL682,8PQG,SDJ,-10,211.676088,10358,20436,270,-3.83
CD,RPL682,8PQG,SDJ,100,211.676088,10358,20436,270,14.13
CD,RPL682,8PQG,SDJ,20,211.676088,10358,20436,270,0
ODS,GRR,8PG8,SDM,-30,210.9,21300,9900,500,-2.16
ODS,GRR,8PG8,SDM,80,210.9,21300,9900,500,10
ODS,GRR,8PG8,SDM,20,210.9,21300,9900,500,0
CD,ADL881 BSM,8PFN,SDJ,-10,208.917128,10228,20426,370,-1.9
CD,ADL881 BSM,8PFN,SDJ,80,208.917128,10228,20426,370,10.5
CD,ADL881 BSM,8PFN,SDJ,20,208.917128,10228,20426,370,0
CD,CML 10C,8PDG,Split,-10,202.453735,9097,22255,500,-1.46
